Pixel_X,Pixel_Y,esp,Altitude,Distance,Latitude,Longitude
344,1058,-120.19331048066094,1.143890380859375,352.7846368537043,22.539552,113.9346291
344,1059,-114.1244260279434,1.138092041015625,353.6467163710134,22.53954483,113.9346435
345,1001,-115.1244260279434,9.4244384765625,304.4552512274998,22.53953846,113.934077
345,1060,-112.53901891043868,1.396148681640625,354.00564967243105,22.53953863,113.9346514
346,997,-110.53901891043868,10.1021728515625,300.6293398855142,22.53952725,113.9340371
346,998,-117.19331048066094,9.59881591796875,301.43821920917725,22.53952906,113.9340456
346,1062,-113.0102999566398,1.59698486328125,355.2365409132343,22.53952928,113.9346675
347,985,-108.1244260279434,12.63739013671875,290.4083332137699,22.53951733,113.9339239
347,992,-109.0102999566398,10.401123046875,296.00675667964066,22.53951813,113.9339885
347,994,-112.0102999566398,10.078216552734377,297.6172038038124,22.53952189,113.9340064
347,995,-107.53901891043868,10.39044189453125,298.4241947295829,22.53952526,113.9340147
347,1063,-118.45540463109292,1.769195556640625,355.607930170293,22.5395236,113.9346745
348,979,-111.0102999566398,13.23565673828125,285.0438562747845,22.5395131,113.9338635
348,981,-119.19331048066094,12.92608642578125,286.6251907980176,22.53951437,113.9338809
348,984,-116.76434862436486,13.4620361328125,289.0069203323685,22.53951384,113.9339125
348,989,-113.76434862436486,11.66754150390625,293.00170647967224,22.53951615,113.9339552
348,991,-113.0102999566398,10.584075927734377,294.6082144136514,22.53951615,113.9339807
348,1064,-114.53901891043868,2.318878173828125,355.9845502265513,22.53951326,113.9346881
349,975,-117.1244260279434,14.16143798828125,281.27744310555727,22.53950384,113.9338221
349,976,-116.76434862436486,13.943603515625,282.0638225650358,22.53950562,113.9338322
349,978,-117.76434862436486,13.752197265625,283.6406176837161,22.53950785,113.9338515
349,982,-113.53901891043868,13.05059814453125,286.81004166521086,22.53950695,113.9338936
349,1064,-111.53901891043868,2.04766845703125,355.4940224532615,22.53950622,113.9346928
350,972,-116.1244260279434,14.4625244140625,278.30379084734005,22.53949039,113.9337969
350,973,-114.45540463109292,14.3426513671875,279.0877998050076,22.53949638,113.9338054
351,1066,-105.1244260279434,2.898956298828125,356.2695608664877,22.53948402,113.9347098
352,969,-120.97322793708696,14.457763671875,274.7107569790452,22.53947474,113.933769
352,970,-112.1244260279434,14.41253662109375,275.4941015702514,22.53947873,113.9337787
352,1068,-113.0102999566398,3.594757080078125,357.54300440646296,22.53947658,113.9347268
352,1069,-108.53901891043868,3.648773193359375,358.42153953131776,22.53947507,113.9347384
353,967,-108.0102999566398,14.20587158203125,272.5233934912744,22.53946848,113.9337499
353,1072,-109.0102999566398,4.725311279296875,360.58840802222136,22.53946681,113.9347628
354,967,-114.1244260279434,14.103271484375,271.9007171744863,22.53946296,113.933741
354,1073,-108.1244260279434,5.258575439453125,361.0013850388943,22.53945658,113.9347756
355,1073,-116.76434862436486,5.645660400390625,360.5343256889696,22.53944995,113.9347811
357,961,-114.53901891043868,14.5535888671875,265.33940529065785,22.53942997,113.9336881
357,962,-112.53901891043868,14.6973876953125,266.12027356065903,22.53943633,113.9336955
357,1075,-110.1244260279434,6.121795654296875,361.3820692840197,22.53943515,113.9347926
